date,meter_location_en,equipment_name_en,period_std,interval_energy_kwh
2021-03-02,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,20.405783999987634
2021-03-02,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,11.552472999997988
2021-03-02,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,1.8818180000022506
2021-03-03,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.5192649999998852
2021-03-03,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,26.072610000012354
2021-03-03,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,10.791424999995868
2021-03-03,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.7857359999972715
2021-03-04,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.4610409999998291
2021-03-04,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,22.246382000004644
2021-03-04,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,15.336864000000604
2021-03-04,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.1844799999991205
2021-03-05,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.480538000000201
2021-03-05,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,23.049697000007512
2021-03-05,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,12.371007999991859
2021-03-05,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.1240409999988135
2021-03-06,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.3632499999999686
2021-03-06,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,20.16743400000393
2021-03-06,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,9.264208999995969
2021-03-06,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.255674000000112
2021-03-07,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.0
2021-03-07,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,51.54386499999977
2021-03-07,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,10.267464999992617
2021-03-07,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,0.0
2021-03-08,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.5446850000005833
2021-03-08,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,25.931584999983023
2021-03-08,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,11.645140000006743
2021-03-08,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.1021800000026802
2021-03-09,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,1.3690419999998726
2021-03-09,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,28.906775000009226
2021-03-09,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,15.631113999994405
2021-03-09,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,3.3548359999995148
2021-03-10,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,1.3498249999992833
2021-03-10,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,30.295332999985234
2021-03-10,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,13.629281000008227
2021-03-10,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,3.2364500000055063
2021-03-19,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.0
2021-03-19,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,0.0
2021-03-19,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,0.0
