date,meter_location_en,equipment_name_en,energy_kwh
2021-05-18,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,56.632113999988626
2021-05-19,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.20445652209999834
2021-05-19,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.1075089999994019
2021-05-19,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,61.587428999990095
2021-05-20,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.2742626981999939
2021-05-20,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.4016169999998985
2021-05-20,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,45.08337399999498
2021-05-21,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.09454460659999807
2021-05-21,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.43685300000065225
2021-05-21,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,55.55555299998741
2021-05-22,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.1368240653999978
2021-05-22,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.32091299999932144
2021-05-22,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,52.18644599999561
2021-05-23,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.2191176200000056
2021-05-23,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.0
2021-05-23,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,64.29169000000611
2021-05-24,Electrical panel mặt trời,NLX Kim Tin 05-VP,0.09731269190000001
2021-05-24,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.849578000000496
2021-05-24,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,50.36828100000577
